hotspot_id,CHI,CHI_category,hotspot_rank,dominant_junction,dominant_police_station,explainability
HS_8960145b54bffff,88.47843827771187,Critical,18,BTP057 - Anand Rao Junction,Upparpet,"CHI = 88 | 16.0% Junction, 9.1% Vehicle, 11.7% Violation, 15.6% Density, 44.9% Recurrence, 2.7% Temporal"
HS_89618925b7bffff,88.10475063751375,Critical,19,"BTP080 - NR Road, SP Road Junction",Halasuru Gate,"CHI = 88 | 16.0% Junction, 8.5% Vehicle, 10.4% Violation, 15.9% Density, 47.2% Recurrence, 1.9% Temporal"
HS_8960145b3b7ffff,86.55162457903553,Critical,20,BTP008 - Navarang Theatre,Malleshwaram,"CHI = 87 | 16.3% Junction, 9.0% Vehicle, 12.0% Violation, 16.1% Density, 44.5% Recurrence, 2.1% Temporal"
HS_8960145a69bffff,85.98865081117624,Critical,21,BTP108 - Tagore Park Junction,Basavanagudi,"CHI = 86 | 16.4% Junction, 8.9% Vehicle, 12.1% Violation, 16.1% Density, 43.3% Recurrence, 3.2% Temporal"
HS_8961892e9a3ffff,85.82497394610004,Critical,22,BTP051 - Safina Plaza Junction,Shivajinagar,"CHI = 86 | 16.5% Junction, 9.6% Vehicle, 10.3% Violation, 16.3% Density, 45.3% Recurrence, 2.1% Temporal"
HS_8961892e933ffff,85.06927221120569,Critical,23,BTP211 - Central Street Junction,Shivajinagar,"CHI = 85 | 14.5% Junction, 9.3% Vehicle, 12.1% Violation, 16.3% Density, 44.5% Recurrence, 3.3% Temporal"
HS_8960145a6d7ffff,84.39024709808734,Critical,24,BTP108 - Tagore Park Junction,Basavanagudi,"CHI = 84 | 16.7% Junction, 9.6% Vehicle, 9.9% Violation, 16.3% Density, 45.1% Recurrence, 2.3% Temporal"
HS_8960145a2b7ffff,84.34788548358726,Critical,25,"BTP095 - Satellite Bus Stand, Mysore Road",Byatarayanapura,"CHI = 84 | 16.7% Junction, 9.4% Vehicle, 12.4% Violation, 16.4% Density, 41.1% Recurrence, 4.0% Temporal"
HS_8960145b323ffff,84.0973670949712,Critical,26,BTP023 - Mahalaxmi Layout Entrance,Rajajinagar,"CHI = 84 | 16.8% Junction, 9.6% Vehicle, 11.8% Violation, 16.4% Density, 43.3% Recurrence, 2.1% Temporal"
HS_8961892e917ffff,83.35189470114784,Critical,27,No Junction,Shivajinagar,"CHI = 83 | 9.5% Junction, 9.5% Vehicle, 11.4% Violation, 16.9% Density, 49.7% Recurrence, 3.1% Temporal"
HS_89618925b03ffff,83.24445248059362,Critical,28,BTP192 - Urvashi Theater,Wilson Garden,"CHI = 83 | 17.0% Junction, 11.4% Vehicle, 8.8% Violation, 16.1% Density, 44.3% Recurrence, 2.4% Temporal"
HS_8960145b5c7ffff,83.23932326271716,Critical,29,BTP043 - Upparpet Junction,City Market,"CHI = 83 | 11.8% Junction, 8.6% Vehicle, 11.2% Violation, 16.8% Density, 48.8% Recurrence, 2.8% Temporal"
HS_8960145b437ffff,82.81080764200436,Critical,30,BTP038 - Mysore Bank Junction,Upparpet,"CHI = 83 | 17.1% Junction, 11.3% Vehicle, 12.5% Violation, 16.5% Density, 40.4% Recurrence, 2.3% Temporal"
HS_8960145b147ffff,82.2655423110659,Critical,31,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",Rajajinagar,"CHI = 82 | 17.2% Junction, 11.7% Vehicle, 12.7% Violation, 16.8% Density, 38.2% Recurrence, 3.4% Temporal"
HS_8960145b52bffff,81.12759584579688,Critical,32,BTP074 - Leprosy Hospital Junction,Magadi Road,"CHI = 81 | 17.4% Junction, 9.4% Vehicle, 12.7% Violation, 16.7% Density, 41.3% Recurrence, 2.6% Temporal"
HS_8960145b49bffff,80.96553064870633,Critical,33,BTP063 - Siddalingaiah Circle,Cubbon Park,"CHI = 81 | 17.4% Junction, 11.3% Vehicle, 9.3% Violation, 17.0% Density, 42.9% Recurrence, 2.2% Temporal"
HS_8960145a26bffff,80.88501162393172,Critical,34,BTP020 - Hosahalli Metro Station,Vijayanagara,"CHI = 81 | 17.5% Junction, 8.9% Vehicle, 11.3% Violation, 17.4% Density, 42.9% Recurrence, 2.1% Temporal"
HS_8961892e2bbffff,80.85439315835023,Critical,35,No Junction,K.R. Pura,"CHI = 81 | 3.5% Junction, 9.8% Vehicle, 13.1% Violation, 17.4% Density, 50.0% Recurrence, 6.2% Temporal"
HS_8961892e9afffff,80.65885236284383,Critical,36,BTP211 - Central Street Junction,Shivajinagar,"CHI = 81 | 17.5% Junction, 10.3% Vehicle, 12.0% Violation, 16.9% Density, 40.6% Recurrence, 2.7% Temporal"
HS_8960145b547ffff,80.46521625194275,Critical,37,BTP048 - Shanthala Junction,Chamarajpet,"CHI = 80 | 17.6% Junction, 9.0% Vehicle, 11.4% Violation, 17.3% Density, 41.1% Recurrence, 3.6% Temporal"
HS_8960145b423ffff,80.01377543874962,Critical,38,BTP058 - Subbanna Junction,Upparpet,"CHI = 80 | 14.7% Junction, 11.1% Vehicle, 10.8% Violation, 17.2% Density, 43.3% Recurrence, 2.9% Temporal"
HS_89618925b2fffff,79.78332842097198,High,39,BTP104 - Medical College Circle,City Market,"CHI = 80 | 17.7% Junction, 9.6% Vehicle, 12.7% Violation, 17.0% Density, 38.7% Recurrence, 4.3% Temporal"
HS_8960145b4cbffff,79.47051737598946,High,40,BTP042 - Minsk Square Junction (CTO),Shivajinagar,"CHI = 79 | 17.8% Junction, 9.2% Vehicle, 11.7% Violation, 17.6% Density, 41.8% Recurrence, 2.0% Temporal"
HS_8960145b32bffff,79.27665471277248,High,41,BTP023 - Mahalaxmi Layout Entrance,Malleshwaram,"CHI = 79 | 17.6% Junction, 12.7% Vehicle, 12.4% Violation, 17.1% Density, 38.0% Recurrence, 2.2% Temporal"
HS_8960145b5dbffff,79.18562697191821,High,42,BTP038 - Mysore Bank Junction,Upparpet,"CHI = 79 | 17.8% Junction, 9.9% Vehicle, 11.0% Violation, 17.5% Density, 41.8% Recurrence, 2.0% Temporal"
HS_8960145b18bffff,79.18454889890519,High,43,BTP010 - Rajajinagar Entrance,Magadi Road,"CHI = 79 | 17.8% Junction, 9.8% Vehicle, 10.8% Violation, 16.9% Density, 41.8% Recurrence, 3.0% Temporal"
HS_8960169052fffff,78.90174916722121,High,44,No Junction,Chikkajala,"CHI = 79 | 3.6% Junction, 13.3% Vehicle, 12.3% Violation, 17.6% Density, 47.8% Recurrence, 5.4% Temporal"
HS_8960145b11bffff,78.5235211880294,High,45,"BTP210 - 50th cross, 12th Main , Rajajinagar",Rajajinagar,"CHI = 79 | 18.0% Junction, 11.6% Vehicle, 11.5% Violation, 16.9% Density, 39.7% Recurrence, 2.4% Temporal"
HS_8960145849bffff,78.4508811068858,High,46,BTP028 - Vijayanagar Bus Stand Junction,Vijayanagara,"CHI = 78 | 18.0% Junction, 10.8% Vehicle, 12.2% Violation, 17.4% Density, 39.0% Recurrence, 2.7% Temporal"
HS_8960145a24fffff,78.3327378537606,High,47,"BTP070 - Cholurpalya Junction, Magadi Road",Magadi Road,"CHI = 78 | 18.0% Junction, 9.1% Vehicle, 9.6% Violation, 17.9% Density, 42.4% Recurrence, 2.9% Temporal"
HS_8960145b42fffff,78.2007073834438,High,48,BTP058 - Subbanna Junction,Upparpet,"CHI = 78 | 18.1% Junction, 12.3% Vehicle, 11.7% Violation, 16.9% Density, 36.4% Recurrence, 4.6% Temporal"
HS_8960145a06bffff,78.09249535215461,High,49,BTP096 - Gali Anjaneya Temple,Byatarayanapura,"CHI = 78 | 18.1% Junction, 10.7% Vehicle, 12.5% Violation, 17.3% Density, 36.7% Recurrence, 4.8% Temporal"
HS_8960145b5c3ffff,77.73996201216913,High,50,BTP043 - Upparpet Junction,City Market,"CHI = 78 | 18.2% Junction, 9.4% Vehicle, 12.9% Violation, 17.3% Density, 39.9% Recurrence, 2.2% Temporal"
HS_8960145b10fffff,77.54932562385775,High,51,BTP018 - Dhobi Ghat Junction,Vijayanagara,"CHI = 78 | 18.2% Junction, 11.6% Vehicle, 14.0% Violation, 17.3% Density, 36.1% Recurrence, 2.7% Temporal"
HS_89601690193ffff,77.30909427307644,High,52,No Junction,Chikkajala,"CHI = 77 | 3.7% Junction, 13.6% Vehicle, 12.1% Violation, 18.2% Density, 48.3% Recurrence, 4.1% Temporal"
HS_8960145b4dbffff,77.30881033068947,High,53,BTP211 - Central Street Junction,Shivajinagar,"CHI = 77 | 18.3% Junction, 10.6% Vehicle, 13.5% Violation, 17.4% Density, 37.2% Recurrence, 3.1% Temporal"
HS_8960145b5d7ffff,77.1920538579361,High,54,BTP082 - KR Market Junction,City Market,"CHI = 77 | 16.9% Junction, 9.4% Vehicle, 13.4% Violation, 17.7% Density, 39.7% Recurrence, 3.0% Temporal"
HS_8960145b3afffff,77.11436566421949,High,55,"BTP026 - 1st Block Junction, Rajajinagar",Malleshwaram,"CHI = 77 | 18.3% Junction, 12.3% Vehicle, 12.7% Violation, 17.8% Density, 36.7% Recurrence, 2.2% Temporal"
HS_8961892e923ffff,77.09521332119722,High,56,BTP211 - Central Street Junction,Shivajinagar,"CHI = 77 | 17.1% Junction, 9.8% Vehicle, 12.2% Violation, 17.7% Density, 40.2% Recurrence, 3.0% Temporal"
HS_89601458493ffff,77.06682385229959,High,57,"BTP022 - Marenahalli Junction, Vijayanagar",Vijayanagara,"CHI = 77 | 18.3% Junction, 9.6% Vehicle, 12.2% Violation, 17.7% Density, 40.2% Recurrence, 2.0% Temporal"
HS_89618925c6bffff,76.91542111558299,High,58,BTP135 - UCO Bank Junction,Adugodi,"CHI = 77 | 16.8% Junction, 10.8% Vehicle, 10.2% Violation, 17.8% Density, 40.9% Recurrence, 3.5% Temporal"
HS_8960145b113ffff,76.5636851482211,High,59,BTP061 - Bhashyam Circle,Rajajinagar,"CHI = 77 | 18.4% Junction, 11.3% Vehicle, 12.1% Violation, 17.3% Density, 38.7% Recurrence, 2.2% Temporal"
HS_8961892598fffff,76.22920095775092,High,60,BTP220 - Puttanna Junction,Jayanagara,"CHI = 76 | 18.5% Junction, 12.7% Vehicle, 10.0% Violation, 17.1% Density, 38.7% Recurrence, 2.9% Temporal"
HS_89618925983ffff,75.47820798571395,High,61,"BTP226 - 33rd Cross, 11th Main, Jayanagar",Jayanagara,"CHI = 75 | 18.7% Junction, 12.3% Vehicle, 13.1% Violation, 17.7% Density, 35.6% Recurrence, 2.6% Temporal"
HS_8960145b18fffff,75.24785991656098,High,62,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",Magadi Road,"CHI = 75 | 18.8% Junction, 11.0% Vehicle, 11.5% Violation, 17.3% Density, 38.5% Recurrence, 2.9% Temporal"
HS_8960145b5cfffff,75.02943917391266,High,63,BTP043 - Upparpet Junction,Upparpet,"CHI = 75 | 18.8% Junction, 12.3% Vehicle, 13.1% Violation, 17.6% Density, 35.6% Recurrence, 2.7% Temporal"
HS_8960145b583ffff,75.00668034394752,High,64,"BTP083 - AS Char Street, Mysore Road",City Market,"CHI = 75 | 18.8% Junction, 11.0% Vehicle, 14.8% Violation, 18.0% Density, 30.9% Recurrence, 6.4% Temporal"
HS_89618924a73ffff,74.74103865020231,High,65,"BTP115 - Sahasra Hospital, Jayanagar",Jayanagara,"CHI = 75 | 18.5% Junction, 12.0% Vehicle, 10.8% Violation, 17.5% Density, 38.5% Recurrence, 2.8% Temporal"
HS_89618925893ffff,74.62077120349967,High,66,BTP140 - Madiwala Check Post,Mico Layout,"CHI = 75 | 18.7% Junction, 12.4% Vehicle, 14.7% Violation, 17.2% Density, 32.1% Recurrence, 4.8% Temporal"
HS_8960145b103ffff,74.38823838661077,High,67,BTP061 - Bhashyam Circle,Rajajinagar,"CHI = 74 | 19.0% Junction, 10.9% Vehicle, 11.6% Violation, 18.3% Density, 38.0% Recurrence, 2.3% Temporal"
HS_89601458497ffff,74.28000829991095,High,68,"BTP022 - Marenahalli Junction, Vijayanagar",Vijayanagara,"CHI = 74 | 19.0% Junction, 11.1% Vehicle, 11.4% Violation, 18.0% Density, 37.7% Recurrence, 2.8% Temporal"
HS_89618925817ffff,74.04586578174171,High,69,BTP126 - Dairy Circle,Mico Layout,"CHI = 74 | 19.1% Junction, 10.8% Vehicle, 15.6% Violation, 17.0% Density, 35.3% Recurrence, 2.2% Temporal"
HS_8960145b6a7ffff,73.67878573543459,High,70,BTP032 - Windsor Circle,High ground,"CHI = 74 | 19.1% Junction, 9.7% Vehicle, 14.1% Violation, 19.0% Density, 35.3% Recurrence, 2.8% Temporal"
HS_8961892e3b7ffff,73.47407139526213,High,71,No Junction,Mahadevapura,"CHI = 73 | 3.8% Junction, 14.3% Vehicle, 17.5% Violation, 18.6% Density, 42.0% Recurrence, 3.9% Temporal"
HS_8960145b097ffff,73.23849318892462,High,72,BTP054 - Shivananda Circle,High ground,"CHI = 73 | 19.3% Junction, 12.9% Vehicle, 11.0% Violation, 18.2% Density, 35.9% Recurrence, 2.8% Temporal"
HS_8960145a223ffff,73.23071786368664,High,73,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara,"CHI = 73 | 16.9% Junction, 10.4% Vehicle, 13.9% Violation, 19.1% Density, 36.7% Recurrence, 3.1% Temporal"
HS_8960145b377ffff,72.86459052287539,High,74,No Junction,Malleshwaram,"CHI = 73 | 4.0% Junction, 12.8% Vehicle, 12.3% Violation, 19.2% Density, 49.0% Recurrence, 2.7% Temporal"
HS_8960145b50bffff,72.5934633622592,High,75,BTP048 - Shanthala Junction,Chamarajpet,"CHI = 73 | 19.5% Junction, 11.6% Vehicle, 14.3% Violation, 17.4% Density, 32.4% Recurrence, 4.8% Temporal"
HS_896014586c7ffff,72.27256824468733,High,76,"BTP206 - Shankara Mutt Circle, Vijayanagar",Vijayanagara,"CHI = 72 | 19.5% Junction, 11.9% Vehicle, 14.3% Violation, 18.5% Density, 33.3% Recurrence, 2.5% Temporal"
HS_8960145845bffff,71.97936122667193,High,77,BTP208 - Havanur Circle,Vijayanagara,"CHI = 72 | 19.6% Junction, 12.6% Vehicle, 14.8% Violation, 18.2% Density, 31.5% Recurrence, 3.1% Temporal"
HS_8960145b1b7ffff,71.97720348157839,High,78,BTP069 - MC Circle,Vijayanagara,"CHI = 72 | 19.6% Junction, 10.4% Vehicle, 13.4% Violation, 19.3% Density, 35.0% Recurrence, 2.3% Temporal"
HS_8961892e16bffff,71.77343158501961,High,79,No Junction,Mahadevapura,"CHI = 72 | 3.9% Junction, 12.5% Vehicle, 17.0% Violation, 19.4% Density, 43.9% Recurrence, 3.3% Temporal"
HS_8960145a22fffff,71.5066015005773,High,80,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara,"CHI = 72 | 19.8% Junction, 12.8% Vehicle, 14.6% Violation, 19.1% Density, 31.2% Recurrence, 2.5% Temporal"
HS_8960145b2a7ffff,71.28228173601606,High,81,No Junction,Malleshwaram,"CHI = 71 | 4.0% Junction, 13.0% Vehicle, 13.1% Violation, 19.7% Density, 47.9% Recurrence, 2.3% Temporal"
HS_89618925913ffff,71.12879774341125,High,82,BTP219 - Canara Bank Junction,Jayanagara,"CHI = 71 | 19.9% Junction, 12.4% Vehicle, 12.1% Violation, 18.5% Density, 34.5% Recurrence, 2.7% Temporal"
HS_89618925b0bffff,70.98637484123634,High,83,BTP192 - Urvashi Theater,Wilson Garden,"CHI = 71 | 19.9% Junction, 11.7% Vehicle, 10.3% Violation, 18.4% Density, 37.4% Recurrence, 2.3% Temporal"
HS_8960145b073ffff,70.4144346256991,High,84,No Junction,Malleshwaram,"CHI = 70 | 4.0% Junction, 12.4% Vehicle, 13.1% Violation, 19.8% Density, 47.9% Recurrence, 2.8% Temporal"
HS_8960145b173ffff,70.40845894852906,High,85,"BTP170 - Dr. Bheem Rao Palace, Chord Road",Rajajinagar,"CHI = 70 | 20.1% Junction, 13.7% Vehicle, 15.3% Violation, 18.1% Density, 29.0% Recurrence, 3.8% Temporal"
HS_8960145a24bffff,70.34905819279128,High,86,BTP071 - Prasanna Junction,Magadi Road,"CHI = 70 | 20.1% Junction, 10.5% Vehicle, 11.5% Violation, 18.6% Density, 36.4% Recurrence, 2.8% Temporal"
HS_8960145b5d3ffff,70.02850567333232,High,87,BTP038 - Mysore Bank Junction,City Market,"CHI = 70 | 17.3% Junction, 10.2% Vehicle, 14.6% Violation, 18.8% Density, 36.7% Recurrence, 2.4% Temporal"
HS_896014586d3ffff,69.80541594631782,High,88,BTP205 - Modi Hospital Junction,Vijayanagara,"CHI = 70 | 20.2% Junction, 11.5% Vehicle, 14.4% Violation, 18.8% Density, 32.1% Recurrence, 2.9% Temporal"
HS_8960145b10bffff,69.5248427879759,High,89,"BTP204 - ESI Hospital, Rajajinagar",Rajajinagar,"CHI = 70 | 20.3% Junction, 12.4% Vehicle, 15.0% Violation, 19.3% Density, 30.6% Recurrence, 2.5% Temporal"
HS_8960145b0cbffff,69.30951638367459,High,90,BTP032 - Windsor Circle,Sheshadripuram,"CHI = 69 | 20.2% Junction, 14.2% Vehicle, 13.3% Violation, 18.8% Density, 31.2% Recurrence, 2.3% Temporal"
HS_89618920babffff,69.29387236044865,High,91,No Junction,HAL Old Airport,"CHI = 69 | 4.1% Junction, 16.1% Vehicle, 18.3% Violation, 19.9% Density, 37.7% Recurrence, 3.9% Temporal"
HS_8960145b1abffff,69.2369090732867,High,92,"BTP024 - NPS, Vijayanagar",Magadi Road,"CHI = 69 | 20.4% Junction, 12.9% Vehicle, 13.7% Violation, 19.2% Density, 30.9% Recurrence, 2.9% Temporal"
HS_8960145b4b3ffff,68.73862055559916,High,93,BTP076 - Hudson Circle,Halasuru Gate,"CHI = 69 | 20.5% Junction, 11.6% Vehicle, 12.0% Violation, 19.4% Density, 34.2% Recurrence, 2.2% Temporal"
HS_8960145844bffff,68.68204455015656,High,94,BTP208 - Havanur Circle,Vijayanagara,"CHI = 69 | 20.6% Junction, 12.1% Vehicle, 15.4% Violation, 19.2% Density, 28.6% Recurrence, 4.1% Temporal"
HS_896014584dbffff,68.62231708379001,High,95,BTP067 - Jai Muni Rao Circle,Magadi Road,"CHI = 69 | 20.6% Junction, 11.8% Vehicle, 13.5% Violation, 19.0% Density, 32.7% Recurrence, 2.3% Temporal"
HS_8960145b30fffff,68.45967134663361,High,96,No Junction,Malleshwaram,"CHI = 68 | 4.1% Junction, 11.9% Vehicle, 13.5% Violation, 20.5% Density, 47.2% Recurrence, 2.8% Temporal"
HS_8961892598bffff,68.13583109053597,High,97,BTP225 - Geetha Junction,Jayanagara,"CHI = 68 | 20.7% Junction, 12.1% Vehicle, 11.6% Violation, 19.0% Density, 33.6% Recurrence, 3.0% Temporal"
HS_896014586d7ffff,67.99972795118636,High,98,BTP205 - Modi Hospital Junction,Vijayanagara,"CHI = 68 | 20.8% Junction, 13.9% Vehicle, 14.3% Violation, 19.1% Density, 29.3% Recurrence, 2.6% Temporal"
HS_8961892e387ffff,67.91454136071512,High,99,No Junction,Banaswadi,"CHI = 68 | 4.2% Junction, 12.7% Vehicle, 15.4% Violation, 20.6% Density, 42.2% Recurrence, 5.0% Temporal"
HS_8960145b557ffff,67.90953505199369,High,100,BTP045 - Danvanthri Road Junction,Upparpet,"CHI = 68 | 20.8% Junction, 14.7% Vehicle, 14.9% Violation, 18.6% Density, 28.0% Recurrence, 3.1% Temporal"
HS_89618925957ffff,67.50255784176431,High,101,No Junction,Wilson Garden,"CHI = 68 | 12.8% Junction, 11.3% Vehicle, 13.0% Violation, 20.0% Density, 38.5% Recurrence, 4.5% Temporal"
HS_8960145b373ffff,67.33402542867417,High,102,No Junction,Malleshwaram,"CHI = 67 | 4.2% Junction, 12.2% Vehicle, 14.4% Violation, 20.4% Density, 45.7% Recurrence, 3.1% Temporal"
HS_8960145b14fffff,67.21498083293777,High,103,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",Rajajinagar,"CHI = 67 | 21.0% Junction, 13.4% Vehicle, 15.2% Violation, 19.1% Density, 28.0% Recurrence, 3.4% Temporal"
HS_8960145b09bffff,67.08730920435386,High,104,BTP054 - Shivananda Circle,High ground,"CHI = 67 | 21.1% Junction, 15.0% Vehicle, 12.0% Violation, 19.1% Density, 30.3% Recurrence, 2.5% Temporal"
HS_89618920b0fffff,66.98317258773947,High,105,No Junction,HAL Old Airport,"CHI = 67 | 4.2% Junction, 12.9% Vehicle, 13.2% Violation, 20.8% Density, 45.7% Recurrence, 3.2% Temporal"
HS_89618924053ffff,66.89475370565847,High,106,No Junction,Hulimavu,"CHI = 67 | 4.2% Junction, 14.1% Vehicle, 15.6% Violation, 20.1% Density, 39.4% Recurrence, 6.5% Temporal"
HS_8960145b433ffff,66.8301117912624,High,107,BTP037 - KR Circle,Upparpet,"CHI = 67 | 21.1% Junction, 13.9% Vehicle, 15.1% Violation, 18.7% Density, 28.6% Recurrence, 2.5% Temporal"
HS_89618926387ffff,66.43917214101613,High,108,No Junction,Electronic City,"CHI = 66 | 4.3% Junction, 12.5% Vehicle, 12.8% Violation, 20.6% Density, 42.9% Recurrence, 7.0% Temporal"
HS_89618925c8fffff,66.39428050446145,High,109,BTP137 - Madiwala Traffic PS Junction,Madiwala,"CHI = 66 | 21.3% Junction, 14.2% Vehicle, 14.8% Violation, 17.9% Density, 25.1% Recurrence, 6.6% Temporal"
HS_8960145b1a7ffff,66.22084010128276,High,110,BTP068 - Veeresh Theatre Junction,Vijayanagara,"CHI = 66 | 21.3% Junction, 11.6% Vehicle, 12.3% Violation, 20.3% Density, 31.8% Recurrence, 2.7% Temporal"
HS_896189242afffff,65.92971134525128,High,111,No Junction,HSR Layout,"CHI = 66 | 4.3% Junction, 12.2% Vehicle, 16.7% Violation, 20.7% Density, 40.6% Recurrence, 5.4% Temporal"
HS_89618925373ffff,65.74359254088549,High,112,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,"CHI = 66 | 21.5% Junction, 13.5% Vehicle, 12.8% Violation, 19.0% Density, 30.9% Recurrence, 2.3% Temporal"
HS_8960145b1d7ffff,65.65526776103142,High,113,BTP010 - Rajajinagar Entrance,Rajajinagar,"CHI = 66 | 21.5% Junction, 12.9% Vehicle, 14.1% Violation, 19.3% Density, 29.6% Recurrence, 2.5% Temporal"
HS_8961892e927ffff,65.65487824560189,High,114,BTP211 - Central Street Junction,Shivajinagar,"CHI = 66 | 21.5% Junction, 14.0% Vehicle, 17.0% Violation, 18.5% Density, 25.1% Recurrence, 3.9% Temporal"
HS_89618925bc7ffff,65.31976517903975,High,115,BTP103 - Shanti Nagar TTMC,Wilson Garden,"CHI = 65 | 21.6% Junction, 13.4% Vehicle, 13.0% Violation, 18.7% Density, 30.9% Recurrence, 2.4% Temporal"
HS_8960145b193ffff,65.19909811326198,High,116,No Junction,Magadi Road,"CHI = 65 | 8.3% Junction, 11.1% Vehicle, 13.0% Violation, 21.2% Density, 43.5% Recurrence, 2.9% Temporal"
HS_8961892588bffff,64.94429064023292,High,117,BTP136 - Hosur-Tavarkere Road Junction,Mico Layout,"CHI = 65 | 21.7% Junction, 13.7% Vehicle, 15.5% Violation, 19.4% Density, 26.2% Recurrence, 3.5% Temporal"
HS_89618920973ffff,64.89238215158994,High,118,No Junction,HAL Old Airport,"CHI = 65 | 4.4% Junction, 12.8% Vehicle, 16.8% Violation, 20.9% Density, 41.5% Recurrence, 3.6% Temporal"
HS_8960145a68bffff,64.74105981347599,High,119,BTP108 - Tagore Park Junction,Basavanagudi,"CHI = 65 | 20.6% Junction, 12.5% Vehicle, 15.4% Violation, 18.8% Density, 29.6% Recurrence, 3.0% Temporal"
HS_89601690c2bffff,64.67918871617154,High,120,No Junction,Chikkajala,"CHI = 65 | 4.4% Junction, 16.0% Vehicle, 14.7% Violation, 21.2% Density, 38.2% Recurrence, 5.5% Temporal"
