spatiotemporal_hotspot_id,temporal_block,violation_count,dominant_junction,dominant_vehicle_type,dominant_violation_type,dominant_police_station
8960145b6a7ffff_Night_21-07,Night (21-07),1457,BTP032 - Windsor Circle,TWO_WHEELER,WRONG PARKING,High ground
89618920963ffff_Night_21-07,Night (21-07),1453,No Junction,CAR_JEEP,PARKING IN A MAIN ROAD,HAL Old Airport
8960145a223ffff_Night_21-07,Night (21-07),1351,"BTP016 - 5th Main Road, RPC Layout",TWO_WHEELER,WRONG PARKING,Vijayanagara
8960145b3b7ffff_Night_21-07,Night (21-07),1333,BTP008 - Navarang Theatre,TWO_WHEELER,WRONG PARKING,Malleshwaram
8960145b073ffff_Night_21-07,Night (21-07),1276,No Junction,CAR_JEEP,WRONG PARKING,Malleshwaram
8960145b58bffff_Night_21-07,Night (21-07),1266,"BTP083 - AS Char Street, Mysore Road",AUTO_RICKSHAW,WRONG PARKING,Chamarajpet
8961892cb7bffff_Night_21-07,Night (21-07),1229,No Junction,TWO_WHEELER,WRONG PARKING,Kodigehalli
8961892e387ffff_Night_21-07,Night (21-07),1202,No Junction,AUTO_RICKSHAW,NO PARKING,Mahadevapura
89618925b63ffff_Night_21-07,Night (21-07),1178,"BTP080 - NR Road, SP Road Junction",CAR_JEEP,WRONG PARKING,Halasuru Gate
8961892e2bbffff_Night_21-07,Night (21-07),1174,No Junction,TWO_WHEELER,WRONG PARKING,K.R. Pura
89618925b2bffff_Night_21-07,Night (21-07),1150,BTP104 - Medical College Circle,TWO_WHEELER,WRONG PARKING,City Market
89618920b0fffff_Night_21-07,Night (21-07),1141,No Junction,TWO_WHEELER,NO PARKING,HAL Old Airport
8961892cb4fffff_Night_21-07,Night (21-07),1139,No Junction,TWO_WHEELER,WRONG PARKING,Kodigehalli
8961892092bffff_Night_21-07,Night (21-07),1093,No Junction,TWO_WHEELER,NO PARKING,HAL Old Airport
8961892e16bffff_Night_21-07,Night (21-07),1081,No Junction,TWO_WHEELER,PARKING IN A MAIN ROAD,Mahadevapura
8960145b1b7ffff_Night_21-07,Night (21-07),1080,BTP069 - MC Circle,TWO_WHEELER,WRONG PARKING,Vijayanagara
89618925b6fffff_Night_21-07,Night (21-07),1066,BTP082 - KR Market Junction,TWO_WHEELER,WRONG PARKING,City Market
8960145b5dbffff_Night_21-07,Night (21-07),1055,BTP038 - Mysore Bank Junction,TWO_WHEELER,NO PARKING,Upparpet
8961892e98fffff_Night_21-07,Night (21-07),1048,No Junction,CAR_JEEP,NO PARKING,Shivajinagar
89618925453ffff_Night_21-07,Night (21-07),1032,No Junction,CAR_JEEP,NO PARKING,HAL Old Airport
8961892c98bffff_Night_21-07,Night (21-07),1012,No Junction,TWO_WHEELER,NO PARKING,Hebbala
8960145b193ffff_Night_21-07,Night (21-07),1007,No Junction,TWO_WHEELER,NO PARKING,Magadi Road
8960145b547ffff_Night_21-07,Night (21-07),985,BTP048 - Shanthala Junction,AUTO_RICKSHAW,NO PARKING,Chamarajpet
8961892e917ffff_Morning_Rush_07-10,Morning Rush (07-10),971,No Junction,TWO_WHEELER,WRONG PARKING,Shivajinagar
8960145b00fffff_Night_21-07,Night (21-07),934,No Junction,CAR_JEEP,WRONG PARKING,Malleshwaram
8961892ec9bffff_Night_21-07,Night (21-07),921,No Junction,TWO_WHEELER,NO PARKING,Jeevanbheemanagar
8960145b553ffff_Morning_Rush_07-10,Morning Rush (07-10),915,BTP040 - Elite Junction,TWO_WHEELER,WRONG PARKING,Upparpet
8960145b323ffff_Night_21-07,Night (21-07),903,BTP023 - Mahalaxmi Layout Entrance,TWO_WHEELER,WRONG PARKING,Rajajinagar
8960145b6a3ffff_Night_21-07,Night (21-07),888,BTP032 - Windsor Circle,TWO_WHEELER,NO PARKING,High ground
89618920a2bffff_Night_21-07,Night (21-07),873,No Junction,TWO_WHEELER,WRONG PARKING,HAL Old Airport
8960145b553ffff_Evening_Rush_16-21,Evening Rush (16-21),866,BTP040 - Elite Junction,CAR_JEEP,WRONG PARKING,Upparpet
89618920927ffff_Night_21-07,Night (21-07),860,No Junction,AUTO_RICKSHAW,NO PARKING,HAL Old Airport
8960145a6d7ffff_Night_21-07,Night (21-07),842,BTP108 - Tagore Park Junction,TWO_WHEELER,NO PARKING,Basavanagudi
8961892e933ffff_Night_21-07,Night (21-07),828,BTP211 - Central Street Junction,TWO_WHEELER,WRONG PARKING,Shivajinagar
8960145b49bffff_Night_21-07,Night (21-07),823,BTP063 - Siddalingaiah Circle,CAR_JEEP,NO PARKING,Cubbon Park
89618925b67ffff_Night_21-07,Night (21-07),810,BTP082 - KR Market Junction,TWO_WHEELER,WRONG PARKING,City Market
8960145b147ffff_Night_21-07,Night (21-07),795,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",CAR_JEEP,WRONG PARKING,Rajajinagar
8961892e9abffff_Morning_Rush_07-10,Morning Rush (07-10),793,BTP051 - Safina Plaza Junction,TWO_WHEELER,WRONG PARKING,Shivajinagar
8960145a69bffff_Night_21-07,Night (21-07),783,BTP108 - Tagore Park Junction,TWO_WHEELER,WRONG PARKING,Basavanagudi
8960145b373ffff_Night_21-07,Night (21-07),775,No Junction,AUTO_RICKSHAW,NO PARKING,Malleshwaram
8961892e3d3ffff_Night_21-07,Night (21-07),771,No Junction,TWO_WHEELER,WRONG PARKING,K.R. Pura
8960145b077ffff_Night_21-07,Night (21-07),763,No Junction,CAR_JEEP,WRONG PARKING,Malleshwaram
89618920babffff_Night_21-07,Night (21-07),755,No Junction,CAR_JEEP,PARKING IN A MAIN ROAD,HAL Old Airport
8960145b54bffff_Night_21-07,Night (21-07),748,BTP057 - Anand Rao Junction,AUTO_RICKSHAW,WRONG PARKING,Upparpet
8960145b423ffff_Night_21-07,Night (21-07),740,BTP058 - Subbanna Junction,CAR_JEEP,NO PARKING,Upparpet
89618926397ffff_Morning_Rush_07-10,Morning Rush (07-10),737,No Junction,TWO_WHEELER,WRONG PARKING,Electronic City
89601458493ffff_Night_21-07,Night (21-07),718,"BTP022 - Marenahalli Junction, Vijayanagar",TWO_WHEELER,WRONG PARKING,Vijayanagara
8960145b3afffff_Night_21-07,Night (21-07),715,"BTP026 - 1st Block Junction, Rajajinagar",CAR_JEEP,WRONG PARKING,Malleshwaram
8960145a2b7ffff_Night_21-07,Night (21-07),690,"BTP095 - Satellite Bus Stand, Mysore Road",TWO_WHEELER,WRONG PARKING,Byatarayanapura
8960145b437ffff_Night_21-07,Night (21-07),674,BTP038 - Mysore Bank Junction,CAR_JEEP,WRONG PARKING,Upparpet
8961892541bffff_Night_21-07,Night (21-07),670,No Junction,LIGHT_COMMERCIAL,WRONG PARKING,Bellandur
8960145b063ffff_Night_21-07,Night (21-07),670,No Junction,CAR_JEEP,WRONG PARKING,Malleshwaram
8961892c96fffff_Night_21-07,Night (21-07),668,No Junction,TWO_WHEELER,WRONG PARKING,Kodigehalli
8960145a22fffff_Night_21-07,Night (21-07),664,"BTP016 - 5th Main Road, RPC Layout",CAR_JEEP,WRONG PARKING,Vijayanagara
8960145b3d3ffff_Night_21-07,Night (21-07),653,No Junction,TWO_WHEELER,NO PARKING,Malleshwaram
89618925403ffff_Night_21-07,Night (21-07),650,No Junction,AUTO_RICKSHAW,NO PARKING,Bellandur
8960169052fffff_Night_21-07,Night (21-07),629,No Junction,CAR_JEEP,NO PARKING,Chikkajala
89618925a23ffff_Night_21-07,Night (21-07),626,BTP172 - Nanjappa Circle,TWO_WHEELER,NO PARKING,Ashok Nagar
8961892e9bbffff_Morning_Rush_07-10,Morning Rush (07-10),626,BTP051 - Safina Plaza Junction,AUTO_RICKSHAW,WRONG PARKING,Shivajinagar
8960145b103ffff_Night_21-07,Night (21-07),623,BTP061 - Bhashyam Circle,TWO_WHEELER,NO PARKING,Rajajinagar
8960145b06bffff_Night_21-07,Night (21-07),621,No Junction,CAR_JEEP,WRONG PARKING,Malleshwaram
8961892e387ffff_Evening_Rush_16-21,Evening Rush (16-21),617,No Junction,AUTO_RICKSHAW,NO PARKING,Banaswadi
8961892530bffff_Night_21-07,Night (21-07),615,No Junction,LIGHT_COMMERCIAL,NO PARKING,Jeevanbheemanagar
89618925c6bffff_Night_21-07,Night (21-07),610,BTP135 - UCO Bank Junction,TWO_WHEELER,NO PARKING,Adugodi
8960145849bffff_Night_21-07,Night (21-07),597,BTP028 - Vijayanagar Bus Stand Junction,TWO_WHEELER,WRONG PARKING,Vijayanagara
8960145a30bffff_Night_21-07,Night (21-07),593,No Junction,TWO_WHEELER,WRONG PARKING,Byatarayanapura
8960145b017ffff_Night_21-07,Night (21-07),592,No Junction,TWO_WHEELER,NO PARKING,Sheshadripuram
8960145b5d7ffff_Night_21-07,Night (21-07),586,BTP082 - KR Market Junction,TWO_WHEELER,WRONG PARKING,City Market
8960145b32bffff_Night_21-07,Night (21-07),578,BTP023 - Mahalaxmi Layout Entrance,CAR_JEEP,WRONG PARKING,Malleshwaram
89618925d97ffff_Night_21-07,Night (21-07),578,BTP130 - GD Mara Junction,TWO_WHEELER,NO PARKING,Mico Layout
8961892e9afffff_Night_21-07,Night (21-07),559,BTP211 - Central Street Junction,TWO_WHEELER,WRONG PARKING,Shivajinagar
89618920a3bffff_Night_21-07,Night (21-07),558,No Junction,LIGHT_COMMERCIAL,WRONG PARKING,HAL Old Airport
8961892e923ffff_Night_21-07,Night (21-07),557,BTP211 - Central Street Junction,AUTO_RICKSHAW,WRONG PARKING,Shivajinagar
8961892e0cfffff_Night_21-07,Night (21-07),556,No Junction,AUTO_RICKSHAW,NO PARKING,Mahadevapura
8961892421bffff_Night_21-07,Night (21-07),556,No Junction,TWO_WHEELER,NO PARKING,HSR Layout
89618920a23ffff_Night_21-07,Night (21-07),556,No Junction,LIGHT_COMMERCIAL,WRONG PARKING,HAL Old Airport
8960145b55bffff_Evening_Rush_16-21,Evening Rush (16-21),543,BTP058 - Subbanna Junction,CAR_JEEP,NO PARKING,Upparpet
8961892eca7ffff_Night_21-07,Night (21-07),533,No Junction,TWO_WHEELER,NO PARKING,Jeevanbheemanagar
8960145b02fffff_Night_21-07,Night (21-07),529,No Junction,TWO_WHEELER,NO PARKING,Sheshadripuram
8960145b697ffff_Night_21-07,Night (21-07),523,No Junction,TWO_WHEELER,WRONG PARKING,Shivajinagar
8960145b52bffff_Night_21-07,Night (21-07),520,BTP074 - Leprosy Hospital Junction,TWO_WHEELER,WRONG PARKING,Magadi Road
8960145b303ffff_Night_21-07,Night (21-07),519,No Junction,TWO_WHEELER,WRONG PARKING,Malleshwaram
8961892e3b7ffff_Night_21-07,Night (21-07),517,No Junction,BUS,PARKING IN A MAIN ROAD,Mahadevapura
8961892e94fffff_Night_21-07,Night (21-07),515,No Junction,TWO_WHEELER,NO PARKING,Pulikeshinagar(F.Town)
89601690c2bffff_Night_21-07,Night (21-07),514,No Junction,CAR_JEEP,NO PARKING,Chikkajala
8961892ed2fffff_Night_21-07,Night (21-07),512,No Junction,AUTO_RICKSHAW,NO PARKING,Halasur
8961892eba3ffff_Night_21-07,Night (21-07),510,No Junction,TWO_WHEELER,NO PARKING,Pulikeshinagar(F.Town)
8960145b5c3ffff_Night_21-07,Night (21-07),509,BTP043 - Upparpet Junction,TWO_WHEELER,WRONG PARKING,City Market
89618920973ffff_Night_21-07,Night (21-07),508,No Junction,TWO_WHEELER,WRONG PARKING,HAL Old Airport
8961892e907ffff_Night_21-07,Night (21-07),503,No Junction,TWO_WHEELER,WRONG PARKING,Shivajinagar
896189219cfffff_Night_21-07,Night (21-07),491,No Junction,TWO_WHEELER,PARKING ON FOOTPATH,Mahadevapura
8960169019bffff_Night_21-07,Night (21-07),488,No Junction,CAR_JEEP,WRONG PARKING,Devanahalli Airport
896014594d3ffff_Night_21-07,Night (21-07),481,No Junction,CAR_JEEP,WRONG PARKING,Sadashivanagar
89618925357ffff_Night_21-07,Night (21-07),479,No Junction,AUTO_RICKSHAW,NO PARKING,Jeevanbheemanagar
8960145b1a7ffff_Night_21-07,Night (21-07),477,BTP068 - Veeresh Theatre Junction,TWO_WHEELER,NO PARKING,Vijayanagara
8961892e997ffff_Night_21-07,Night (21-07),460,No Junction,CAR_JEEP,NO PARKING,Halasur
896189259bbffff_Night_21-07,Night (21-07),459,"BTP189 - New Diagonal Road, Jayanagar",TWO_WHEELER,NO PARKING,Jayanagara
8961892e55bffff_Night_21-07,Night (21-07),447,No Junction,LIGHT_COMMERCIAL,NO PARKING,Mahadevapura
896189242afffff_Night_21-07,Night (21-07),446,No Junction,TWO_WHEELER,WRONG PARKING,HSR Layout
89618920a37ffff_Night_21-07,Night (21-07),444,No Junction,CAR_JEEP,WRONG PARKING,HAL Old Airport
89618926387ffff_Morning_Rush_07-10,Morning Rush (07-10),443,No Junction,TWO_WHEELER,NO PARKING,Electronic City
89618925123ffff_Night_21-07,Night (21-07),442,No Junction,TWO_WHEELER,NO PARKING,Adugodi
8961892ed2bffff_Night_21-07,Night (21-07),440,No Junction,CAR_JEEP,NO PARKING,Halasur
89601459563ffff_Night_21-07,Night (21-07),437,No Junction,TWO_WHEELER,WRONG PARKING,Yeshwanthpura
8960145b10fffff_Night_21-07,Night (21-07),435,BTP018 - Dhobi Ghat Junction,CAR_JEEP,WRONG PARKING,Vijayanagara
89601690193ffff_Evening_Rush_16-21,Evening Rush (16-21),434,No Junction,CAR_JEEP,NO PARKING,Chikkajala
8960145b4b3ffff_Night_21-07,Night (21-07),431,BTP076 - Hudson Circle,TWO_WHEELER,NO PARKING,Halasuru Gate
8960145b10bffff_Night_21-07,Night (21-07),431,"BTP204 - ESI Hospital, Rajajinagar",AUTO_RICKSHAW,WRONG PARKING,Rajajinagar
896014586c7ffff_Night_21-07,Night (21-07),415,"BTP206 - Shankara Mutt Circle, Vijayanagar",TWO_WHEELER,WRONG PARKING,Vijayanagara
896016964b7ffff_Morning_Rush_07-10,Morning Rush (07-10),415,No Junction,TWO_WHEELER,WRONG PARKING,Kodigehalli
89618925a5bffff_Night_21-07,Night (21-07),415,No Junction,CAR_JEEP,NO PARKING,Halasur
8961892e937ffff_Morning_Rush_07-10,Morning Rush (07-10),409,BTP211 - Central Street Junction,AUTO_RICKSHAW,WRONG PARKING,Shivajinagar
89618925b2fffff_Night_21-07,Night (21-07),406,BTP104 - Medical College Circle,TWO_WHEELER,WRONG PARKING,City Market
896014582dbffff_Night_21-07,Night (21-07),402,No Junction,CAR_JEEP,WRONG PARKING,Rajajinagar
8960145b4dbffff_Night_21-07,Night (21-07),400,BTP211 - Central Street Junction,TWO_WHEELER,WRONG PARKING,Shivajinagar
89618925b03ffff_Night_21-07,Night (21-07),399,BTP192 - Urvashi Theater,CAR_JEEP,NO PARKING,Wilson Garden
89601458497ffff_Night_21-07,Night (21-07),389,"BTP022 - Marenahalli Junction, Vijayanagar",TWO_WHEELER,NO PARKING,Vijayanagara
89618926397ffff_Night_21-07,Night (21-07),385,No Junction,TWO_WHEELER,WRONG PARKING,Electronic City
89618925c03ffff_Night_21-07,Night (21-07),383,BTP137 - Madiwala Traffic PS Junction,CAR_JEEP,NO PARKING,Madiwala
89618925983ffff_Night_21-07,Night (21-07),381,"BTP226 - 33rd Cross, 11th Main, Jayanagar",CAR_JEEP,NO PARKING,Jayanagara
8960145b113ffff_Night_21-07,Night (21-07),381,BTP061 - Bhashyam Circle,TWO_WHEELER,WRONG PARKING,Rajajinagar
8961892e483ffff_Night_21-07,Night (21-07),380,No Junction,CAR_JEEP,WRONG PARKING,HAL Old Airport
8960169052fffff_Morning_Rush_07-10,Morning Rush (07-10),378,No Junction,LIGHT_COMMERCIAL,NO PARKING,Chikkajala
8961892e97bffff_Night_21-07,Night (21-07),377,No Junction,CAR_JEEP,WRONG PARKING,Pulikeshinagar(F.Town)
8961892c9c7ffff_Night_21-07,Night (21-07),372,No Junction,TWO_WHEELER,WRONG PARKING,Hebbala
8961892cc57ffff_Night_21-07,Night (21-07),370,No Junction,CAR_JEEP,NO PARKING,K.G. Halli
8960145b18bffff_Night_21-07,Night (21-07),370,BTP010 - Rajajinagar Entrance,TWO_WHEELER,NO PARKING,Magadi Road
8960145b25bffff_Night_21-07,Night (21-07),367,No Junction,CAR_JEEP,WRONG PARKING,R.T. Nagar
8960145b543ffff_Morning_Rush_07-10,Morning Rush (07-10),366,BTP057 - Anand Rao Junction,CAR_JEEP,WRONG PARKING,Upparpet
89618925957ffff_Night_21-07,Night (21-07),365,No Junction,TWO_WHEELER,NO PARKING,Wilson Garden
8960145b097ffff_Night_21-07,Night (21-07),360,BTP054 - Shivananda Circle,CAR_JEEP,NO PARKING,High ground
8960145a24fffff_Morning_Rush_07-10,Morning Rush (07-10),359,"BTP070 - Cholurpalya Junction, Magadi Road",TWO_WHEELER,NO PARKING,Magadi Road
8960145b11bffff_Night_21-07,Night (21-07),358,"BTP210 - 50th cross, 12th Main , Rajajinagar",CAR_JEEP,WRONG PARKING,Rajajinagar
8960145b1abffff_Night_21-07,Night (21-07),358,"BTP024 - NPS, Vijayanagar",CAR_JEEP,WRONG PARKING,Magadi Road
89618925917ffff_Night_21-07,Night (21-07),353,"BTP188 - 27th Cross, 4th Main, Jayanagar",TWO_WHEELER,NO PARKING,Jayanagara
89601690193ffff_Morning_Rush_07-10,Morning Rush (07-10),352,No Junction,CAR_JEEP,NO PARKING,Chikkajala
89618926387ffff_Night_21-07,Night (21-07),351,No Junction,CAR_JEEP,NO PARKING,Electronic City
8960145a06bffff_Night_21-07,Night (21-07),349,BTP096 - Gali Anjaneya Temple,TWO_WHEELER,NO PARKING,Byatarayanapura
89618920ba3ffff_Night_21-07,Night (21-07),348,No Junction,CAR_JEEP,NO PARKING,HAL Old Airport
8961892e94fffff_Morning_Rush_07-10,Morning Rush (07-10),347,No Junction,TWO_WHEELER,NO PARKING,Pulikeshinagar(F.Town)
8961892ecbbffff_Night_21-07,Night (21-07),346,No Junction,CAR_JEEP,PARKING IN A MAIN ROAD,Jeevanbheemanagar
8960145b5d3ffff_Night_21-07,Night (21-07),343,BTP038 - Mysore Bank Junction,TWO_WHEELER,WRONG PARKING,City Market
89618925a27ffff_Night_21-07,Night (21-07),340,"BTP101 - Blood Bank Circle, KH Road",TWO_WHEELER,NO PARKING,Ashok Nagar
8960145b543ffff_Evening_Rush_16-21,Evening Rush (16-21),334,BTP057 - Anand Rao Junction,CAR_JEEP,WRONG PARKING,Upparpet
8960145b5cbffff_Morning_Rush_07-10,Morning Rush (07-10),332,BTP044 - Sagar Theatre Junction,TWO_WHEELER,WRONG PARKING,Upparpet
89618924203ffff_Morning_Rush_07-10,Morning Rush (07-10),330,No Junction,TWO_WHEELER,NO PARKING,HSR Layout
8960145b08fffff_Night_21-07,Night (21-07),329,No Junction,CAR_JEEP,NO PARKING,Sheshadripuram
8960145b007ffff_Night_21-07,Night (21-07),328,No Junction,CAR_JEEP,NO PARKING,Malleshwaram
8960145b583ffff_Evening_Rush_16-21,Evening Rush (16-21),326,"BTP083 - AS Char Street, Mysore Road",CAR_JEEP,WRONG PARKING,City Market
8961892e01bffff_Night_21-07,Night (21-07),326,No Junction,AUTO_RICKSHAW,NO PARKING,Mahadevapura
8960145b5cfffff_Night_21-07,Night (21-07),320,BTP043 - Upparpet Junction,CAR_JEEP,WRONG PARKING,Upparpet
896014586d3ffff_Night_21-07,Night (21-07),316,BTP205 - Modi Hospital Junction,TWO_WHEELER,WRONG PARKING,Vijayanagara
89618925913ffff_Night_21-07,Night (21-07),315,BTP219 - Canara Bank Junction,CAR_JEEP,NO PARKING,Jayanagara
8961892ed77ffff_Night_21-07,Night (21-07),314,No Junction,CAR_JEEP,NO PARKING,Halasur
8960169644fffff_Night_21-07,Night (21-07),313,No Junction,TWO_WHEELER,WRONG PARKING,Yelahanka
8960145a2cfffff_Night_21-07,Night (21-07),312,No Junction,TWO_WHEELER,NO PARKING,Magadi Road
896014584dbffff_Night_21-07,Night (21-07),305,BTP067 - Jai Muni Rao Circle,TWO_WHEELER,WRONG PARKING,Magadi Road
8961892cb4bffff_Night_21-07,Night (21-07),304,No Junction,CAR_JEEP,WRONG PARKING,Kodigehalli
8960145a423ffff_Night_21-07,Night (21-07),303,BTP155 - Katriguppe Junction,TWO_WHEELER,NO PARKING,Banashankari
89618925a47ffff_Night_21-07,Night (21-07),301,No Junction,TWO_WHEELER,NO PARKING,Ashok Nagar
89618925b6fffff_Evening_Rush_16-21,Evening Rush (16-21),300,BTP082 - KR Market Junction,TWO_WHEELER,WRONG PARKING,Halasuru Gate
8960145a24bffff_Night_21-07,Night (21-07),299,BTP071 - Prasanna Junction,TWO_WHEELER,NO PARKING,Magadi Road
8961892086bffff_Night_21-07,Night (21-07),298,No Junction,TWO_WHEELER,PARKING IN A MAIN ROAD,Whitefield
89618925b0bffff_Night_21-07,Night (21-07),298,BTP192 - Urvashi Theater,TWO_WHEELER,NO PARKING,Wilson Garden
8960145a27bffff_Night_21-07,Night (21-07),297,BTP020 - Hosahalli Metro Station,TWO_WHEELER,NO PARKING,Vijayanagara
8961892e9b7ffff_Night_21-07,Night (21-07),297,No Junction,TWO_WHEELER,WRONG PARKING,Cubbon Park
8960145a35bffff_Night_21-07,Night (21-07),297,"BTP016 - 5th Main Road, RPC Layout",TWO_WHEELER,NO PARKING,Vijayanagara
8960145845bffff_Night_21-07,Night (21-07),294,BTP208 - Havanur Circle,CAR_JEEP,WRONG PARKING,Vijayanagara
8960145b0cbffff_Night_21-07,Night (21-07),294,BTP032 - Windsor Circle,CAR_JEEP,NO PARKING,Sheshadripuram
8960145b3abffff_Night_21-07,Night (21-07),290,"BTP001 - 10th Cross, Dr. Rajkumar Road",TWO_WHEELER,WRONG PARKING,Malleshwaram
8960145b547ffff_Evening_Rush_16-21,Evening Rush (16-21),286,BTP048 - Shanthala Junction,AUTO_RICKSHAW,NO PARKING,Chamarajpet
896014586d7ffff_Night_21-07,Night (21-07),285,BTP205 - Modi Hospital Junction,CAR_JEEP,WRONG PARKING,Vijayanagara
89618924a73ffff_Night_21-07,Night (21-07),284,"BTP115 - Sahasra Hospital, Jayanagar",TWO_WHEELER,NO PARKING,Jayanagara
89618920bb7ffff_Night_21-07,Night (21-07),281,No Junction,CAR_JEEP,WRONG PARKING,HAL Old Airport
8961892e28fffff_Night_21-07,Night (21-07),270,No Junction,CAR_JEEP,WRONG PARKING,K.R. Pura
8960145844bffff_Night_21-07,Night (21-07),270,BTP208 - Havanur Circle,TWO_WHEELER,WRONG PARKING,Vijayanagara
8960145a357ffff_Night_21-07,Night (21-07),269,BTP017 - Attiguppe Circle,TWO_WHEELER,WRONG PARKING,Byatarayanapura
89618925897ffff_Night_21-07,Night (21-07),267,No Junction,TWO_WHEELER,NO PARKING,Mico Layout
8961892598fffff_Night_21-07,Night (21-07),267,BTP220 - Puttanna Junction,CAR_JEEP,NO PARKING,Jayanagara
8961892436fffff_Night_21-07,Night (21-07),267,"BTP163 - 16th Main Road, BTM Layout",TWO_WHEELER,NO PARKING,Mico Layout
8960145b427ffff_Morning_Rush_07-10,Morning Rush (07-10),266,BTP044 - Sagar Theatre Junction,TWO_WHEELER,WRONG PARKING,Upparpet
89601696683ffff_Evening_Rush_16-21,Evening Rush (16-21),264,No Junction,TWO_WHEELER,NO PARKING,Yelahanka
896189255cbffff_Night_21-07,Night (21-07),263,No Junction,TWO_WHEELER,WRONG PARKING,Bellandur
8961892420fffff_Night_21-07,Night (21-07),261,No Junction,TWO_WHEELER,WRONG PARKING,HSR Layout
8960145913bffff_Night_21-07,Night (21-07),261,No Junction,AUTO_RICKSHAW,NO PARKING,Peenya
8961892e3d3ffff_Evening_Rush_16-21,Evening Rush (16-21),257,No Junction,TWO_WHEELER,WRONG PARKING,K.R. Pura
8961892528fffff_Night_21-07,Night (21-07),257,No Junction,TWO_WHEELER,WRONG PARKING,HAL Old Airport
